,ID,Math,English,Science,Absences,Issues,Social_Behavior,Score_Str,Behavior,Score
252,S0253,89,76,70,0,1,average,Balanced,0,0
253,S0254,42,76,52,15,0,positive,Balanced,2,0
254,S0255,98,85,51,1,3,positive,Balanced,2,0
255,S0256,80,48,89,3,0,positive,Ideal Model,2,1
256,S0257,65,99,75,19,3,average,Needs Follow-up,0,2
257,S0258,49,50,76,9,4,average,Needs Follow-up,0,2
258,S0259,82,87,57,15,5,negative,Needs Follow-up,1,2
259,S0260,43,71,70,17,1,average,Needs Follow-up,0,2
260,S0261,84,94,62,6,1,average,Balanced,0,0
261,S0262,74,63,90,1,1,average,Balanced,0,0
262,S0263,88,53,54,19,0,average,Needs Follow-up,0,2
263,S0264,68,99,61,12,0,negative,Needs Follow-up,1,2
264,S0265,61,71,48,17,5,negative,Needs Follow-up,1,2
265,S0266,63,51,80,3,1,average,Balanced,0,0
266,S0267,77,48,78,10,2,negative,Needs Follow-up,1,2
267,S0268,71,54,96,10,1,average,Balanced,0,0
268,S0269,53,53,89,8,0,negative,Needs Follow-up,1,2
269,S0270,80,61,79,6,3,average,Needs Follow-up,0,2
270,S0271,75,42,62,11,3,negative,Needs Follow-up,1,2
271,S0272,85,65,80,8,3,positive,Balanced,2,0
272,S0273,54,46,91,17,2,average,Needs Follow-up,0,2
273,S0274,66,77,86,15,2,average,Balanced,0,0
274,S0275,96,80,50,4,4,average,Balanced,0,0
275,S0276,94,48,77,3,2,negative,Balanced,1,0
276,S0277,65,42,69,1,0,positive,Balanced,2,0
277,S0278,68,90,78,18,5,negative,Needs Follow-up,1,2
278,S0279,40,51,97,2,4,average,Needs Follow-up,0,2
279,S0280,99,56,42,11,3,positive,Needs Follow-up,2,2
280,S0281,44,87,81,7,5,positive,Balanced,2,0
281,S0282,98,70,60,2,2,negative,Balanced,1,0
282,S0283,87,97,90,0,0,average,Ideal Model,0,1
283,S0284,67,59,87,15,3,positive,Balanced,2,0
284,S0285,54,98,68,3,3,negative,Needs Follow-up,1,2
285,S0286,78,93,91,17,4,positive,Balanced,2,0
286,S0287,47,95,74,5,0,negative,Balanced,1,0
287,S0288,42,84,98,7,0,average,Balanced,0,0
288,S0289,94,95,58,9,1,negative,Balanced,1,0
289,S0290,68,73,72,18,3,positive,Balanced,2,0
290,S0291,51,84,86,10,1,negative,Needs Follow-up,1,2
291,S0292,63,62,96,10,0,average,Balanced,0,0
292,S0293,84,63,94,10,5,average,Balanced,0,0
293,S0294,97,62,54,4,0,negative,Balanced,1,0
294,S0295,92,61,79,3,1,positive,Balanced,2,0
295,S0296,88,97,77,6,3,positive,Balanced,2,0
296,S0297,97,64,43,7,3,negative,Needs Follow-up,1,2
297,S0298,94,53,88,20,3,negative,Needs Follow-up,1,2
298,S0299,44,62,85,7,2,average,Needs Follow-up,0,2
299,S0300,73,65,70,16,3,negative,Needs Follow-up,1,2
300,S0301,56,42,68,0,3,average,Needs Follow-up,0,2
301,S0302,67,57,59,12,2,negative,Needs Follow-up,1,2
302,S0303,98,90,69,19,2,positive,Balanced,2,0
303,S0304,78,48,77,6,5,average,Needs Follow-up,0,2
304,S0305,85,86,94,0,2,average,Balanced,0,0
305,S0306,77,68,54,4,2,negative,Needs Follow-up,1,2
306,S0307,51,85,93,15,1,positive,Balanced,2,0
307,S0308,87,89,94,6,0,negative,Balanced,1,0
308,S0309,68,73,73,10,0,negative,Balanced,1,0
309,S0310,51,86,58,20,1,average,Needs Follow-up,0,2
310,S0311,82,74,67,0,2,negative,Balanced,1,0
311,S0312,79,81,86,19,4,negative,Needs Follow-up,1,2
312,S0313,61,53,40,15,5,negative,Needs Follow-up,1,2
313,S0314,78,84,59,5,2,positive,Balanced,2,0
314,S0315,51,77,62,8,2,positive,Balanced,2,0
315,S0316,74,67,59,2,2,average,Balanced,0,0
316,S0317,78,92,49,9,2,average,Balanced,0,0
317,S0318,81,92,91,20,0,negative,Balanced,1,0
318,S0319,72,81,45,12,0,negative,Needs Follow-up,1,2
319,S0320,74,59,45,7,5,positive,Needs Follow-up,2,2
320,S0321,87,84,65,3,3,average,Balanced,0,0
321,S0322,52,51,75,2,2,positive,Balanced,2,0
322,S0323,88,72,55,19,4,negative,Needs Follow-up,1,2
323,S0324,89,64,78,15,3,average,Needs Follow-up,0,2
324,S0325,71,44,58,9,5,average,Needs Follow-up,0,2
325,S0326,74,80,96,18,5,positive,Balanced,2,0
326,S0327,90,64,43,7,5,average,Needs Follow-up,0,2
327,S0328,44,48,72,20,2,average,Needs Follow-up,0,2
328,S0329,62,93,94,18,1,average,Balanced,0,0
329,S0330,60,69,65,8,3,negative,Needs Follow-up,1,2
330,S0331,72,94,46,11,3,negative,Needs Follow-up,1,2
331,S0332,79,98,76,6,2,average,Balanced,0,0
332,S0333,70,94,48,0,3,negative,Needs Follow-up,1,2
333,S0334,71,66,52,20,0,positive,Balanced,2,0
334,S0335,40,66,45,8,4,negative,Needs Follow-up,1,2
335,S0336,95,53,47,14,2,average,Needs Follow-up,0,2
336,S0337,93,80,75,2,3,negative,Balanced,1,0
337,S0338,51,42,79,8,5,negative,Needs Follow-up,1,2
338,S0339,96,100,74,4,0,average,Ideal Model,0,1
339,S0340,47,96,57,3,2,negative,Needs Follow-up,1,2
340,S0341,91,50,60,16,3,positive,Needs Follow-up,2,2
341,S0342,43,60,61,13,5,negative,Needs Follow-up,1,2
342,S0343,51,63,84,16,2,average,Needs Follow-up,0,2
343,S0344,63,55,66,2,2,average,Balanced,0,0
344,S0345,74,65,96,10,4,average,Balanced,0,0
345,S0346,62,45,49,19,3,positive,Needs Follow-up,2,2
346,S0347,60,71,64,18,3,negative,Needs Follow-up,1,2
347,S0348,81,85,52,1,3,positive,Balanced,2,0
348,S0349,70,82,57,1,4,positive,Balanced,2,0
349,S0350,43,41,90,2,4,average,Needs Follow-up,0,2
350,S0351,86,56,43,5,0,average,Balanced,0,0
351,S0352,81,93,82,18,0,positive,Ideal Model,2,1
352,S0353,98,70,75,7,5,negative,Needs Follow-up,1,2
353,S0354,69,67,78,14,4,negative,Needs Follow-up,1,2
354,S0355,61,83,41,2,3,average,Needs Follow-up,0,2
355,S0356,93,66,84,6,1,negative,Balanced,1,0
356,S0357,78,99,40,15,5,negative,Needs Follow-up,1,2
357,S0358,40,65,40,7,0,positive,Needs Follow-up,2,2
358,S0359,82,94,59,11,2,negative,Needs Follow-up,1,2
359,S0360,42,88,83,11,1,positive,Balanced,2,0
360,S0361,82,64,95,8,1,negative,Balanced,1,0
361,S0362,80,67,66,0,4,negative,Needs Follow-up,1,2
362,S0363,96,96,66,4,0,average,Ideal Model,0,1
363,S0364,40,66,82,7,4,negative,Needs Follow-up,1,2
364,S0365,81,54,84,10,1,negative,Needs Follow-up,1,2
365,S0366,51,59,49,9,5,positive,Needs Follow-up,2,2
366,S0367,81,82,99,14,0,positive,Ideal Model,2,1
367,S0368,68,67,75,0,3,average,Balanced,0,0
368,S0369,81,74,86,9,2,positive,Balanced,2,0
369,S0370,94,88,73,0,4,negative,Balanced,1,0
370,S0371,70,53,46,1,2,negative,Needs Follow-up,1,2
371,S0372,92,76,91,18,1,average,Balanced,0,0
372,S0373,69,45,45,20,1,negative,Needs Follow-up,1,2
373,S0374,63,84,81,17,1,negative,Needs Follow-up,1,2
374,S0375,97,94,46,8,2,average,Balanced,0,0
375,S0376,40,80,100,19,2,average,Balanced,0,0
376,S0377,44,55,51,15,4,average,Needs Follow-up,0,2
377,S0378,98,54,48,6,4,negative,Needs Follow-up,1,2
378,S0379,52,99,93,14,0,positive,Balanced,2,0
379,S0380,90,57,59,13,4,positive,Needs Follow-up,2,2
380,S0381,71,53,82,1,3,negative,Needs Follow-up,1,2
381,S0382,56,94,88,18,3,negative,Needs Follow-up,1,2
382,S0383,99,85,87,5,2,positive,Ideal Model,2,1
383,S0384,95,98,69,19,5,average,Balanced,0,0
384,S0385,64,89,87,7,1,average,Balanced,0,0
385,S0386,59,96,61,20,0,average,Balanced,0,0
386,S0387,49,83,57,8,3,average,Needs Follow-up,0,2
387,S0388,53,85,54,1,2,average,Balanced,0,0
388,S0389,50,63,74,8,1,average,Needs Follow-up,0,2
389,S0390,78,56,54,19,5,positive,Needs Follow-up,2,2
390,S0391,87,76,92,12,5,positive,Balanced,2,0
391,S0392,60,58,79,15,5,average,Needs Follow-up,0,2
392,S0393,68,56,60,9,5,negative,Needs Follow-up,1,2
393,S0394,64,56,79,2,1,negative,Needs Follow-up,1,2
394,S0395,99,62,40,6,4,positive,Balanced,2,0
395,S0396,73,52,89,4,1,positive,Balanced,2,0
396,S0397,98,77,78,14,0,average,Balanced,0,0
397,S0398,45,99,90,3,2,average,Balanced,0,0
398,S0399,97,70,59,15,2,negative,Needs Follow-up,1,2
399,S0400,96,84,92,4,3,positive,Ideal Model,2,1
400,S0401,45,69,62,7,4,average,Needs Follow-up,0,2
401,S0402,92,82,66,7,4,positive,Balanced,2,0
402,S0403,43,47,51,18,5,average,Needs Follow-up,0,2
403,S0404,71,80,99,7,2,negative,Balanced,1,0
404,S0405,61,61,92,6,0,positive,Balanced,2,0
405,S0406,44,100,72,6,5,negative,Needs Follow-up,1,2
406,S0407,100,98,43,8,2,negative,Needs Follow-up,1,2
407,S0408,90,75,57,10,1,positive,Balanced,2,0
408,S0409,87,61,83,20,5,average,Needs Follow-up,0,2
409,S0410,62,42,77,3,5,negative,Needs Follow-up,1,2
410,S0411,43,54,87,11,4,average,Needs Follow-up,0,2
411,S0412,49,98,81,20,0,negative,Balanced,1,0
412,S0413,85,67,40,1,2,negative,Needs Follow-up,1,2
413,S0414,87,50,62,1,5,negative,Needs Follow-up,1,2
414,S0415,69,93,86,6,3,positive,Balanced,2,0
415,S0416,96,75,79,3,1,negative,Balanced,1,0
416,S0417,94,69,51,4,5,negative,Needs Follow-up,1,2
417,S0418,58,47,82,1,5,average,Needs Follow-up,0,2
418,S0419,74,76,99,13,1,negative,Balanced,1,0
419,S0420,92,99,83,2,3,negative,Balanced,1,0
420,S0421,93,69,87,19,1,average,Balanced,0,0
421,S0422,90,69,93,17,4,average,Balanced,0,0
422,S0423,76,87,100,8,5,positive,Balanced,2,0
423,S0424,83,92,50,20,2,positive,Balanced,2,0
424,S0425,68,84,97,0,1,positive,Ideal Model,2,1
425,S0426,66,84,45,0,5,average,Needs Follow-up,0,2
426,S0427,72,57,64,13,4,negative,Needs Follow-up,1,2
427,S0428,99,89,87,6,1,positive,Ideal Model,2,1
428,S0429,70,68,46,2,1,positive,Balanced,2,0
429,S0430,75,70,95,15,4,negative,Needs Follow-up,1,2
430,S0431,70,94,65,7,2,negative,Needs Follow-up,1,2
431,S0432,49,54,40,19,5,positive,Needs Follow-up,2,2
432,S0433,86,59,64,20,2,average,Needs Follow-up,0,2
433,S0434,40,100,68,11,1,average,Needs Follow-up,0,2
434,S0435,75,88,67,2,0,average,Balanced,0,0
435,S0436,44,76,51,8,4,negative,Needs Follow-up,1,2
436,S0437,72,95,75,17,0,positive,Balanced,2,0
437,S0438,60,61,43,13,3,positive,Needs Follow-up,2,2
438,S0439,93,55,79,14,2,positive,Balanced,2,0
439,S0440,75,45,61,20,3,positive,Needs Follow-up,2,2
440,S0441,54,69,54,16,3,negative,Needs Follow-up,1,2
441,S0442,91,56,64,18,2,positive,Balanced,2,0
442,S0443,96,56,57,18,5,average,Needs Follow-up,0,2
443,S0444,94,97,96,13,0,positive,Ideal Model,2,1
444,S0445,91,90,49,12,2,average,Needs Follow-up,0,2
445,S0446,60,81,40,14,1,positive,Needs Follow-up,2,2
446,S0447,93,45,94,18,1,positive,Balanced,2,0
447,S0448,84,47,84,4,1,negative,Balanced,1,0
448,S0449,94,69,83,14,4,average,Balanced,0,0
449,S0450,82,95,98,19,2,positive,Balanced,2,0
450,S0451,72,85,65,1,5,average,Balanced,0,0
451,S0452,56,49,81,9,5,positive,Needs Follow-up,2,2
452,S0453,79,81,85,9,1,negative,Balanced,1,0
453,S0454,87,90,49,17,5,positive,Balanced,2,0
454,S0455,41,41,61,8,4,average,Needs Follow-up,0,2
455,S0456,99,76,80,6,2,positive,Balanced,2,0
456,S0457,70,50,75,11,5,average,Needs Follow-up,0,2
457,S0458,42,92,49,12,3,negative,Needs Follow-up,1,2
458,S0459,63,48,68,2,2,positive,Balanced,2,0
459,S0460,78,77,58,10,4,average,Needs Follow-up,0,2
460,S0461,60,57,52,5,0,average,Balanced,0,0
461,S0462,71,63,97,11,3,negative,Needs Follow-up,1,2
462,S0463,70,41,72,17,5,average,Needs Follow-up,0,2
463,S0464,55,43,67,12,2,average,Needs Follow-up,0,2
464,S0465,55,50,80,16,5,negative,Needs Follow-up,1,2
